,date,epsActual,epsEstimate,hour,quarter,revenueActual,revenueEstimate,symbol,year
100,2020-07-28,1.38,1.2384942,amc,2,794715000,778900849,AKAM,2020
101,2020-04-28,1.2,1.180344,amc,1,764302000,761006399,AKAM,2020
102,2020-02-11,1.23,1.3468284000000001,amc,4,772123000,760519199,AKAM,2019
103,2019-10-28,1.1,1.0245186,amc,3,709912000,711785497,AKAM,2019
104,2020-07-23,1.53,1.25919,bmo,2,798929000,780352299,CTXS,2020
105,2020-04-23,1.73,1.1971842000000001,bmo,1,860945000,744573549,CTXS,2020
106,2020-01-22,1.71,1.7123861999999999,amc,4,809823000,814059577,CTXS,2019
107,2019-10-24,1.52,1.2753162,bmo,3,732901000,726044430,CTXS,2019
108,2020-08-06,0.82,0.6660192,amc,2,615500000,608025600,FTNT,2020
109,2020-05-06,0.6,0.5190168,amc,1,576900000,565344850,FTNT,2020
110,2020-02-06,0.76,0.8587992000000001,amc,4,614400000,612390100,FTNT,2019
111,2019-10-31,0.67,0.570843,amc,3,547500000,540505262,FTNT,2019
112,2020-08-11,2.15,2.1539875,bmo,4,1362000000,1339799999,BR,2020
113,2020-05-08,1.67,1.774175,bmo,3,1250000000,1268749999,BR,2020
114,2020-01-31,0.53,0.7254187,bmo,2,968700000,1010158449,BR,2020
115,2019-11-06,0.68,0.7342458000000001,bmo,1,948600000,994304007,BR,2020
116,2020-08-04,0.62,0.641325,amc,2,181587000,185805899,PAYC,2020
117,2020-04-28,1.33,1.2902184,amc,1,242368000,242798149,PAYC,2020
118,2020-02-05,0.86,0.8880834000000001,amc,4,193409000,193184949,PAYC,2019
119,2019-10-29,0.7,0.6862764,amc,3,175006000,174075291,PAYC,2019
120,2020-07-29,1.38,1.2117071000000001,amc,2,271329000,282768850,TYL,2020
121,2020-04-29,1.25,1.2668732999999999,amc,1,276780000,284179700,TYL,2020
122,2020-02-12,1.43,1.5048293,amc,4,287425000,295344700,TYL,2019
123,2019-10-31,1.35,1.3717618,dmh,3,277187000,286387122,TYL,2019
124,2020-08-18,0.8,0.7965282,amc,4,410537000,419205149,JKHY,2020
125,2020-05-04,0.96,0.8197127999999999,amc,3,429406000,415906399,JKHY,2020
126,2020-02-04,0.94,0.9984677999999999,amc,2,419119000,416078949,JKHY,2020
127,2019-11-05,1.16,1.0616466,bmo,1,438005000,426388771,JKHY,2020
128,2020-08-05,1.23,1.2225848,amc,4,4287000000,4405100000,WDC,2020
129,2020-04-30,0.85,0.9360882000000001,amc,3,4175000000,4242699999,WDC,2020
130,2020-01-30,0.62,1.4926082999999999,amc,2,4234000000,4283299999,WDC,2020
131,2019-10-30,0.34,0.30089920000000003,amc,1,4040000000,3989062482,WDC,2020
132,2020-08-25,0.32,0.2935868,amc,3,6816000000,6150899999,HPE,2020
133,2020-05-21,0.22,0.442077,amc,2,6009000000,6414799999,HPE,2020
134,2020-03-03,0.44,0.3138474,amc,1,6949000000,7338449999,HPE,2020
135,2019-11-25,0.49,0.4634991,amc,4,7215000000,7506542546,HPE,2019
136,2020-08-04,1.55,1.1030178000000002,bmo,2,2914000000,3065299999,LDOS,2020
137,2020-05-05,1.19,1.2507750000000002,bmo,1,2889000000,2933349999,LDOS,2020
138,2020-02-18,1.51,1.6147415999999999,bmo,4,2954000000,2882599999,LDOS,2019
139,2019-10-29,1.1,1.0894722,bmo,3,2647000000,2691709589,LDOS,2019
140,2020-07-28,1.2,1.3060512,amc,4,2517000000,2649149999,STX,2020
141,2020-04-22,1.38,1.3151008,amc,3,2718000000,2649149999,STX,2020
142,2020-02-04,1.35,1.2975874,amc,2,2696000000,2760799999,STX,2020
143,2019-11-01,1.03,1.0179487,bmo,1,2578000000,2609863409,STX,2020
144,2020-08-04,1.2,0.8304066,bmo,2,973100000,944487949,IT,2020
145,2020-05-07,1.2,0.33372,bmo,1,1019000000,1025149999,IT,2020
146,2020-02-04,1.18,0.5230134000000001,bmo,4,1203000000,1207850000,IT,2019
147,2019-10-31,0.7,0.4451866,bmo,3,1000502000,1006453953,IT,2019
148,2020-08-06,0.31,0.2203914,amc,1,614000000,608665050,NLOK,2021
149,2020-05-14,0.26,0.1906686,amc,4,614000000,610319500,NLOK,2020
150,2020-02-06,0.25,0.3384972,amc,3,618000000,616835800,NLOK,2020
151,2019-11-07,0.46,0.4207194,amc,2,1187000000,1155270026,NLOK,2020
152,2020-08-26,0.73,1.0575666,amc,1,1303000000,1167250000,NTAP,2021
153,2020-05-27,1.19,1.2024576,amc,4,1401000000,1451449999,NTAP,2020
154,2020-02-12,1.16,0.7998534,amc,3,1404000000,1481899999,NTAP,2020
155,2019-11-13,1.09,0.9580248,amc,2,1371000000,1401618574,NTAP,2020
156,2020-08-04,0.41,0.35515430000000003,amc,2,1115000000,1096200000,WU,2020
157,2020-05-05,0.44,0.4241952,amc,1,1190000000,1248449999,WU,2020
158,2020-02-11,0.38,0.47497419999999996,amc,4,1308000000,1339799999,WU,2019
159,2019-10-31,0.49,0.47477850000000005,amc,3,1306900000,1327748783,WU,2019
160,2020-08-06,0.21,0.1179579,amc,1,4502000000,4384800000,DXC,2021
161,2020-05-28,1.2,0.9786900000000001,amc,4,4815000000,4963349999,DXC,2020
162,2020-02-06,1.25,0.9783263999999999,amc,3,5021000000,4973499999,DXC,2020
163,2019-11-11,1.38,1.439654,amc,2,4851000000,4981893106,DXC,2020
164,2020-07-28,0.15,-0.0303,bmo,2,1465000000,1542799999,XRX,2020
165,2020-04-28,0.21,0.29272830000000005,bmo,1,1860000000,1745799999,XRX,2020
166,2020-01-28,1.33,0.7585099999999999,bmo,4,2444000000,2446150000,XRX,2019
167,2019-10-29,1.08,0.8732460000000001,bmo,3,2200000000,2224541243,XRX,2019
